state,state_name,polymarket_event_id,polymarket_event_slug,polymarket_event_title,polymarket_event_url,polymarket_market_id,polymarket_market_slug,polymarket_market_question,polymarket_market_url,polymarket_embed_url,market_entity_name,market_entity_type,market_party_normalized,yes_probability,no_probability,last_trade_price,best_bid,best_ask,volume,liquidity,active,closed,event_updated_at,data_pulled_at,matched_fec_candidate_id,matched_candidate_name,matched_party,matched_party_normalized,candidate_match_status,candidate_match_count,candidate_match_candidates
AK,Alaska,59233,alaska-senate-election-winner,Alaska Senate Election Winner,https://polymarket.com/event/alaska-senate-election-winner,634976,will-mary-peltola-win-the-alaska-senate-race-in-2026,Will Mary Peltola win the Alaska Senate race in 2026?,https://polymarket.com/event/alaska-senate-election-winner#634976,https://embed.polymarket.com/market?market=will-mary-peltola-win-the-alaska-senate-race-in-2026&height=300,Mary Peltola,candidate,,0.675,0.325,0.69,0.67,0.68,155563.04455000017,14241.1332,True,False,2026-05-03T09:50:08.603572Z,2026-05-03T09:51:06.815871+00:00,S6AK00276,"PELTOLA, MARY",DEM,DEM,exact_candidate_universe,1,S6AK00276
AK,Alaska,59233,alaska-senate-election-winner,Alaska Senate Election Winner,https://polymarket.com/event/alaska-senate-election-winner,634974,will-dan-sullivan-win-the-alaska-senate-race-in-2026,Will Dan Sullivan win the Alaska Senate race in 2026?,https://polymarket.com/event/alaska-senate-election-winner#634974,https://embed.polymarket.com/market?market=will-dan-sullivan-win-the-alaska-senate-race-in-2026&height=300,Dan Sullivan,candidate,,0.33,0.67,0.34,0.32,0.34,85368.02177699997,17041.6081,True,False,2026-05-03T09:50:08.603572Z,2026-05-03T09:51:06.815267+00:00,S4AK00214,"SULLIVAN, DAN",REP,REP,exact_candidate_universe,1,S4AK00214
AK,Alaska,59233,alaska-senate-election-winner,Alaska Senate Election Winner,https://polymarket.com/event/alaska-senate-election-winner,634977,will-dustin-darden-win-the-alaska-senate-race-in-2026,Will Dustin Darden win the Alaska Senate race in 2026?,https://polymarket.com/event/alaska-senate-election-winner#634977,https://embed.polymarket.com/market?market=will-dustin-darden-win-the-alaska-senate-race-in-2026&height=300,Dustin Darden,candidate,,0.0025,0.9975,0.002,0.001,0.004,19980.368311999973,4512.10689,True,False,2026-05-03T09:50:08.603572Z,2026-05-03T09:51:06.813799+00:00,,,,,no_candidate_match,0,
AK,Alaska,59233,alaska-senate-election-winner,Alaska Senate Election Winner,https://polymarket.com/event/alaska-senate-election-winner,634975,will-ann-diener-win-the-alaska-senate-race-in-2026,Will Ann Diener win the Alaska Senate race in 2026?,https://polymarket.com/event/alaska-senate-election-winner#634975,https://embed.polymarket.com/market?market=will-ann-diener-win-the-alaska-senate-race-in-2026&height=300,Ann Diener,candidate,,0.002,0.998,0.001,0.001,0.003,32400.568577999973,8049.23807,True,False,2026-05-03T09:50:08.603572Z,2026-05-03T09:51:06.814624+00:00,S6AK00235,"DIENER, ANN",DEM,DEM,exact_candidate_universe,1,S6AK00235
AK,Alaska,59233,alaska-senate-election-winner,Alaska Senate Election Winner,https://polymarket.com/event/alaska-senate-election-winner,634978,will-richard-grayson-win-the-alaska-senate-race-in-2026,Will Richard Grayson win the Alaska Senate race in 2026?,https://polymarket.com/event/alaska-senate-election-winner#634978,https://embed.polymarket.com/market?market=will-richard-grayson-win-the-alaska-senate-race-in-2026&height=300,Richard Grayson,candidate,,0.0015,0.9985,0.001,0.001,0.002,19053.348520999993,7180.4964,True,False,2026-05-03T09:50:08.603572Z,2026-05-03T09:51:06.816423+00:00,,,,,no_candidate_match,0,
AL,Alabama,57637,alabama-senate-election-winner-154,Alabama Senate Election Winner,https://polymarket.com/event/alabama-senate-election-winner-154,630628,will-the-republicans-win-the-alabama-senate-race-in-2026,Will the Republicans win the Alabama Senate race in 2026?,https://polymarket.com/event/alabama-senate-election-winner-154#630628,https://embed.polymarket.com/market?market=will-the-republicans-win-the-alabama-senate-race-in-2026&height=300,Republican,party,REP,0.95,0.05,0.94,0.94,0.96,6284.625777000003,13054.481,True,False,2026-05-03T09:50:07.37264Z,2026-05-03T09:51:06.804970+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
AL,Alabama,57637,alabama-senate-election-winner-154,Alabama Senate Election Winner,https://polymarket.com/event/alabama-senate-election-winner-154,630627,will-the-democrats-win-the-alabama-senate-race-in-2026,Will the Democrats win the Alabama Senate race in 2026?,https://polymarket.com/event/alabama-senate-election-winner-154#630627,https://embed.polymarket.com/market?market=will-the-democrats-win-the-alabama-senate-race-in-2026&height=300,Democrat,party,DEM,0.05,0.95,0.08,0.04,0.06,3818.76904,3629.1377,True,False,2026-05-03T09:50:07.37264Z,2026-05-03T09:51:06.804730+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
AR,Arkansas,57639,arkansas-senate-election-winner,Arkansas Senate Election Winner,https://polymarket.com/event/arkansas-senate-election-winner,630654,will-the-republicans-win-the-arkansas-senate-race-in-2026,Will the Republicans win the Arkansas Senate race in 2026?,https://polymarket.com/event/arkansas-senate-election-winner#630654,https://embed.polymarket.com/market?market=will-the-republicans-win-the-arkansas-senate-race-in-2026&height=300,Republican,party,REP,0.9,0.1,0.91,0.89,0.91,7222.575820999992,12098.0167,True,False,2026-05-03T09:50:12.972533Z,2026-05-03T09:51:06.816478+00:00,,,Republican,REP,party_market_waiting_for_selected_file,0,
AR,Arkansas,57639,arkansas-senate-election-winner,Arkansas Senate Election Winner,https://polymarket.com/event/arkansas-senate-election-winner,630653,will-the-democrats-win-the-arkansas-senate-race-in-2026,Will the Democrats win the Arkansas Senate race in 2026?,https://polymarket.com/event/arkansas-senate-election-winner#630653,https://embed.polymarket.com/market?market=will-the-democrats-win-the-arkansas-senate-race-in-2026&height=300,Democrat,party,DEM,0.075,0.925,0.06,0.06,0.09,2634.4245469999987,11239.8163,True,False,2026-05-03T09:50:12.972533Z,2026-05-03T09:51:06.816461+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
CO,Colorado,57640,colorado-senate-election-winner,Colorado Senate Election Winner,https://polymarket.com/event/colorado-senate-election-winner,630666,will-the-democrats-win-the-colorado-senate-race-in-2026,Will the Democrats win the Colorado Senate race in 2026?,https://polymarket.com/event/colorado-senate-election-winner#630666,https://embed.polymarket.com/market?market=will-the-democrats-win-the-colorado-senate-race-in-2026&height=300,Democrat,party,DEM,0.91,0.09,0.9,0.9,0.92,8305.584747000006,13599.514,True,False,2026-05-03T09:50:07.463631Z,2026-05-03T09:51:06.816520+00:00,,,Democrat,DEM,party_market_waiting_for_selected_file,0,
